prov_name,yr,age,pop_prop
Liaoning,1995,50_,0.197288824
Liaoning,1996,0,0.011335262
Liaoning,1996,1_14,0.195034179
Liaoning,1996,15_49,0.593052326
Liaoning,1996,50_,0.200578233
Liaoning,1997,0,0.01060266
Liaoning,1997,1_14,0.188365329
Liaoning,1997,15_49,0.597164369
Liaoning,1997,50_,0.203867642
Liaoning,1998,0,0.009870057
Liaoning,1998,1_14,0.18169648
Liaoning,1998,15_49,0.601276413
Liaoning,1998,50_,0.20715705
Liaoning,1999,0,0.009137455
Liaoning,1999,1_14,0.17502763
Liaoning,1999,15_49,0.605388456
Liaoning,1999,50_,0.210446459
Liaoning,2000,0,0.008404852
Liaoning,2000,1_14,0.168358781
Liaoning,2000,15_49,0.609500499
Liaoning,2000,50_,0.213735868
Liaoning,2001,0,0.00818076
Liaoning,2001,1_14,0.161709069
Liaoning,2001,15_49,0.60198179
Liaoning,2001,50_,0.228128381
Liaoning,2002,0,0.007956667
Liaoning,2002,1_14,0.155059358
Liaoning,2002,15_49,0.594463081
Liaoning,2002,50_,0.242520894
Liaoning,2003,0,0.007732575
Liaoning,2003,1_14,0.148409646
Liaoning,2003,15_49,0.586944372
Liaoning,2003,50_,0.256913407
Liaoning,2004,0,0.007508483
Liaoning,2004,1_14,0.141759935
Liaoning,2004,15_49,0.579425662
Liaoning,2004,50_,0.27130592
Liaoning,2005,0,0.00728439
Liaoning,2005,1_14,0.135110223
Liaoning,2005,15_49,0.571906953
Liaoning,2005,50_,0.285698433
Liaoning,2006,0,0.007035577
Liaoning,2006,1_14,0.129725357
Liaoning,2006,15_49,0.570179035
Liaoning,2006,50_,0.293060031
Liaoning,2007,0,0.006786764
Liaoning,2007,1_14,0.124340491
Liaoning,2007,15_49,0.568451117
Liaoning,2007,50_,0.300421628
Liaoning,2008,0,0.006537951
Liaoning,2008,1_14,0.118955625
Liaoning,2008,15_49,0.566723199
Liaoning,2008,50_,0.307783225
Liaoning,2009,0,0.006289138
Liaoning,2009,1_14,0.113570759
Liaoning,2009,15_49,0.564995281
Liaoning,2009,50_,0.315144822
Liaoning,2010,0,0.006040325
Liaoning,2010,1_14,0.108185893
Liaoning,2010,15_49,0.563267363
Liaoning,2010,50_,0.32250642
Liaoning,2011,0,0.005784585
Liaoning,2011,1_14,0.106811029
Liaoning,2011,15_49,0.552388117
Liaoning,2011,50_,0.335016269
Liaoning,2012,0,0.005528845
Liaoning,2012,1_14,0.105436166
Liaoning,2012,15_49,0.541508871
Liaoning,2012,50_,0.347526118
Liaoning,2013,0,0.005273105
Liaoning,2013,1_14,0.104061303
Liaoning,2013,15_49,0.530629625
Liaoning,2013,50_,0.360035967
Liaoning,2014,0,0.005017365
Liaoning,2014,1_14,0.10268644
Liaoning,2014,15_49,0.519750379
Liaoning,2014,50_,0.372545816
Jilin,1990,0,0.012544729
Jilin,1990,1_14,0.249044076
Jilin,1990,15_49,0.593988513
Jilin,1990,50_,0.144422682
Jilin,1991,0,0.012544729
Jilin,1991,1_14,0.242649465
Jilin,1991,15_49,0.595520541
Jilin,1991,50_,0.149285265
Jilin,1992,0,0.012544729
Jilin,1992,1_14,0.236254855
Jilin,1992,15_49,0.597052568
Jilin,1992,50_,0.154147848
Jilin,1993,0,0.012544729
Jilin,1993,1_14,0.229860244
Jilin,1993,15_49,0.598584595
Jilin,1993,50_,0.159010431
Jilin,1994,0,0.012544729
Jilin,1994,1_14,0.223465634
Jilin,1994,15_49,0.600116623
Jilin,1994,50_,0.163873015
Jilin,1995,0,0.012544729
Jilin,1995,1_14,0.217071023
Jilin,1995,15_49,0.60164865
Jilin,1995,50_,0.168735598
Jilin,1996,0,0.01174039
Jilin,1996,1_14,0.209798655
Jilin,1996,15_49,0.606668807
Jilin,1996,50_,0.171792148
Jilin,1997,0,0.010936051
Jilin,1997,1_14,0.202526286
Jilin,1997,15_49,0.611688963
Jilin,1997,50_,0.174848699
Jilin,1998,0,0.010131712
Jilin,1998,1_14,0.195253918
Jilin,1998,15_49,0.61670912
Jilin,1998,50_,0.17790525
Jilin,1999,0,0.009327373
Jilin,1999,1_14,0.18798155
Jilin,1999,15_49,0.621729276
Jilin,1999,50_,0.180961801
Jilin,2000,0,0.008523035
Jilin,2000,1_14,0.180709182
Jilin,2000,15_49,0.626749433
Jilin,2000,50_,0.184018351
Jilin,2001,0,0.008395552
Jilin,2001,1_14,0.171965368
Jilin,2001,15_49,0.621949175
Jilin,2001,50_,0.197689905
Jilin,2002,0,0.00826807
Jilin,2002,1_14,0.163221554
Jilin,2002,15_49,0.617148918
Jilin,2002,50_,0.211361458
Jilin,2003,0,0.008140588
Jilin,2003,1_14,0.15447774
Jilin,2003,15_49,0.612348661
Jilin,2003,50_,0.225033011
Jilin,2004,0,0.008013106
Jilin,2004,1_14,0.145733926
Jilin,2004,15_49,0.607548404
Jilin,2004,50_,0.238704565
Jilin,2005,0,0.007885624
Jilin,2005,1_14,0.136990112
Jilin,2005,15_49,0.602748147
Jilin,2005,50_,0.252376118
Jilin,2006,0,0.007598509
Jilin,2006,1_14,0.132281515
Jilin,2006,15_49,0.60152239
Jilin,2006,50_,0.258597586
Jilin,2007,0,0.007311394
Jilin,2007,1_14,0.127572918
Jilin,2007,15_49,0.600296633
Jilin,2007,50_,0.264819055
Jilin,2008,0,0.007024279
Jilin,2008,1_14,0.122864321
Jilin,2008,15_49,0.599070877
Jilin,2008,50_,0.271040524
Jilin,2009,0,0.006737164
Jilin,2009,1_14,0.118155724
Jilin,2009,15_49,0.59784512
Jilin,2009,50_,0.277261992
Jilin,2010,0,0.006450049
Jilin,2010,1_14,0.113447127
Jilin,2010,15_49,0.596619363
Jilin,2010,50_,0.283483461
Jilin,2011,0,0.00608651
Jilin,2011,1_14,0.113799045
Jilin,2011,15_49,0.584570034
Jilin,2011,50_,0.295544411
Jilin,2012,0,0.00572297
Jilin,2012,1_14,0.114150963
Jilin,2012,15_49,0.572520704
Jilin,2012,50_,0.307605362
Jilin,2013,0,0.005359431
Jilin,2013,1_14,0.114502881
Jilin,2013,15_49,0.560471375
Jilin,2013,50_,0.319666313
Jilin,2014,0,0.004995892
Jilin,2014,1_14,0.114854799
Jilin,2014,15_49,0.548422046
Jilin,2014,50_,0.331727263
Heilongjiang,1990,0,0.012931136
Heilongjiang,1990,1_14,0.253090646
Heilongjiang,1990,15_49,0.598405858
Heilongjiang,1990,50_,0.13557236
Heilongjiang,1991,0,0.012931136
Heilongjiang,1991,1_14,0.246795916
Heilongjiang,1991,15_49,0.600895311
Heilongjiang,1991,50_,0.139377636
Heilongjiang,1992,0,0.012931136
Heilongjiang,1992,1_14,0.240501186
Heilongjiang,1992,15_49,0.603384764
Heilongjiang,1992,50_,0.143182913
Heilongjiang,1993,0,0.012931136
Heilongjiang,1993,1_14,0.234206456
Heilongjiang,1993,15_49,0.605874218
Heilongjiang,1993,50_,0.14698819
Heilongjiang,1994,0,0.012931136
Heilongjiang,1994,1_14,0.227911726
Heilongjiang,1994,15_49,0.608363671
Heilongjiang,1994,50_,0.150793467
Heilongjiang,1995,0,0.012931136
Heilongjiang,1995,1_14,0.221616996
Heilongjiang,1995,15_49,0.610853124
Heilongjiang,1995,50_,0.154598744
Heilongjiang,1996,0,0.011955017
Heilongjiang,1996,1_14,0.213462164
Heilongjiang,1996,15_49,0.615073442
Heilongjiang,1996,50_,0.159509377
Heilongjiang,1997,0,0.010978897
Heilongjiang,1997,1_14,0.205307332
Heilongjiang,1997,15_49,0.61929376
Heilongjiang,1997,50_,0.164420011
Heilongjiang,1998,0,0.010002778
Heilongjiang,1998,1_14,0.1971525
Heilongjiang,1998,15_49,0.623514078
Heilongjiang,1998,50_,0.169330644
Heilongjiang,1999,0,0.009026658
Heilongjiang,1999,1_14,0.188997668
Heilongjiang,1999,15_49,0.627734397
Heilongjiang,1999,50_,0.174241278
Heilongjiang,2000,0,0.008050538
Heilongjiang,2000,1_14,0.180842836
Heilongjiang,2000,15_49,0.631954715
Heilongjiang,2000,50_,0.179151911
Heilongjiang,2001,0,0.008008709
Heilongjiang,2001,1_14,0.172721732
Heilongjiang,2001,15_49,0.626362348
Heilongjiang,2001,50_,0.192907211
Heilongjiang,2002,0,0.00796688
Heilongjiang,2002,1_14,0.164600629
Heilongjiang,2002,15_49,0.620769981
Heilongjiang,2002,50_,0.20666251
Heilongjiang,2003,0,0.007925051
Heilongjiang,2003,1_14,0.156479525
Heilongjiang,2003,15_49,0.615177614
Heilongjiang,2003,50_,0.22041781
Heilongjiang,2004,0,0.007883222
Heilongjiang,2004,1_14,0.148358422
Heilongjiang,2004,15_49,0.609585247
Heilongjiang,2004,50_,0.234173109
Heilongjiang,2005,0,0.007841392
Heilongjiang,2005,1_14,0.140237318
Heilongjiang,2005,15_49,0.60399288
Heilongjiang,2005,50_,0.247928409
